timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1770589964095,380,HTTP Request,201,Created,Thread Group 1-1,text,true,,890,226,1,1,https://fakestoreapi.com/auth/login,380,0,70
1770589964476,313,HTTP Request,201,Created,Thread Group 1-1,text,true,,885,226,2,2,https://fakestoreapi.com/auth/login,313,0,0
1770589964605,342,HTTP Request,201,Created,Thread Group 1-2,text,true,,891,232,2,2,https://fakestoreapi.com/auth/login,342,0,35
1770589964789,307,HTTP Request,201,Created,Thread Group 1-1,text,true,,886,226,2,2,https://fakestoreapi.com/auth/login,307,0,0
1770589964947,307,HTTP Request,201,Created,Thread Group 1-2,text,true,,886,227,3,3,https://fakestoreapi.com/auth/login,307,0,0
1770589965096,305,HTTP Request,201,Created,Thread Group 1-1,text,true,,888,228,3,3,https://fakestoreapi.com/auth/login,305,0,0
1770589965104,349,HTTP Request,201,Created,Thread Group 1-3,text,true,,888,226,3,3,https://fakestoreapi.com/auth/login,349,0,39
1770589965254,307,HTTP Request,201,Created,Thread Group 1-2,text,true,,893,226,3,3,https://fakestoreapi.com/auth/login,307,0,0
1770589965401,306,HTTP Request,201,Created,Thread Group 1-1,text,true,,895,232,4,4,https://fakestoreapi.com/auth/login,306,0,0
1770589965453,307,HTTP Request,201,Created,Thread Group 1-3,text,true,,884,226,4,4,https://fakestoreapi.com/auth/login,307,0,0
1770589965561,311,HTTP Request,201,Created,Thread Group 1-2,text,true,,888,227,4,4,https://fakestoreapi.com/auth/login,311,0,0
1770589965599,351,HTTP Request,201,Created,Thread Group 1-4,text,true,,892,228,4,4,https://fakestoreapi.com/auth/login,351,0,42
1770589965707,322,HTTP Request,201,Created,Thread Group 1-1,text,true,,890,226,4,4,https://fakestoreapi.com/auth/login,322,0,0
1770589965760,314,HTTP Request,201,Created,Thread Group 1-3,text,true,,889,226,4,4,https://fakestoreapi.com/auth/login,314,0,0
1770589965872,314,HTTP Request,201,Created,Thread Group 1-2,text,true,,889,232,5,5,https://fakestoreapi.com/auth/login,314,0,0
1770589965950,305,HTTP Request,201,Created,Thread Group 1-4,text,true,,890,226,5,5,https://fakestoreapi.com/auth/login,305,0,0
1770589966029,312,HTTP Request,201,Created,Thread Group 1-1,text,true,,886,227,5,5,https://fakestoreapi.com/auth/login,311,0,0
1770589966074,310,HTTP Request,201,Created,Thread Group 1-3,text,true,,892,228,5,5,https://fakestoreapi.com/auth/login,310,0,0
1770589966099,344,HTTP Request,201,Created,Thread Group 1-5,text,true,,894,226,5,5,https://fakestoreapi.com/auth/login,344,0,38
1770589966186,305,HTTP Request,201,Created,Thread Group 1-2,text,true,,885,226,5,5,https://fakestoreapi.com/auth/login,305,0,0
1770589966256,334,HTTP Request,201,Created,Thread Group 1-4,text,true,,895,232,5,5,https://fakestoreapi.com/auth/login,334,0,0
1770589966348,306,HTTP Request,201,Created,Thread Group 1-1,text,true,,890,226,6,6,https://fakestoreapi.com/auth/login,306,0,0
1770589966384,310,HTTP Request,201,Created,Thread Group 1-3,text,true,,888,227,6,6,https://fakestoreapi.com/auth/login,310,0,0
1770589966443,305,HTTP Request,201,Created,Thread Group 1-5,text,true,,892,228,6,6,https://fakestoreapi.com/auth/login,305,0,0
1770589966492,305,HTTP Request,201,Created,Thread Group 1-2,text,true,,898,226,6,6,https://fakestoreapi.com/auth/login,305,0,0
1770589966590,309,HTTP Request,201,Created,Thread Group 1-4,text,true,,887,226,6,6,https://fakestoreapi.com/auth/login,309,0,0
1770589966599,348,HTTP Request,201,Created,Thread Group 1-6,text,true,,897,232,6,6,https://fakestoreapi.com/auth/login,348,0,41
1770589966654,309,HTTP Request,201,Created,Thread Group 1-1,text,true,,892,226,6,6,https://fakestoreapi.com/auth/login,309,0,0
1770589966694,305,HTTP Request,201,Created,Thread Group 1-3,text,true,,890,227,6,6,https://fakestoreapi.com/auth/login,305,0,0
1770589966748,311,HTTP Request,201,Created,Thread Group 1-5,text,true,,888,228,6,6,https://fakestoreapi.com/auth/login,311,0,0
1770589966797,309,HTTP Request,201,Created,Thread Group 1-2,text,true,,886,226,7,7,https://fakestoreapi.com/auth/login,309,0,0
1770589966899,310,HTTP Request,201,Created,Thread Group 1-4,text,true,,897,226,7,7,https://fakestoreapi.com/auth/login,310,0,0
1770589966947,307,HTTP Request,201,Created,Thread Group 1-6,text,true,,895,232,7,7,https://fakestoreapi.com/auth/login,307,0,0
1770589966964,308,HTTP Request,201,Created,Thread Group 1-1,text,true,,892,226,7,7,https://fakestoreapi.com/auth/login,308,0,0
1770589967000,311,HTTP Request,201,Created,Thread Group 1-3,text,true,,886,227,7,7,https://fakestoreapi.com/auth/login,311,0,0
1770589967059,306,HTTP Request,201,Created,Thread Group 1-5,text,true,,892,228,7,7,https://fakestoreapi.com/auth/login,306,0,0
1770589967100,343,HTTP Request,201,Created,Thread Group 1-7,text,true,,888,226,7,7,https://fakestoreapi.com/auth/login,343,0,37
1770589967147,307,HTTP Request,201,Created,Thread Group 1-2,text,true,,885,226,7,7,https://fakestoreapi.com/auth/login,307,0,0
1770589967249,305,HTTP Request,201,Created,Thread Group 1-4,text,true,,889,232,7,7,https://fakestoreapi.com/auth/login,305,0,0
1770589967299,319,HTTP Request,201,Created,Thread Group 1-6,text,true,,890,226,8,8,https://fakestoreapi.com/auth/login,319,0,0
1770589967314,310,HTTP Request,201,Created,Thread Group 1-1,text,true,,886,227,8,8,https://fakestoreapi.com/auth/login,310,0,0
1770589967350,306,HTTP Request,201,Created,Thread Group 1-3,text,true,,896,228,8,8,https://fakestoreapi.com/auth/login,306,0,0
1770589967410,306,HTTP Request,201,Created,Thread Group 1-5,text,true,,886,226,8,8,https://fakestoreapi.com/auth/login,306,0,0
1770589967450,306,HTTP Request,201,Created,Thread Group 1-7,text,true,,885,226,8,8,https://fakestoreapi.com/auth/login,306,0,0
1770589967497,306,HTTP Request,201,Created,Thread Group 1-2,text,true,,893,232,8,8,https://fakestoreapi.com/auth/login,306,0,0
1770589967600,309,HTTP Request,201,Created,Thread Group 1-4,text,true,,884,226,8,8,https://fakestoreapi.com/auth/login,309,0,0
1770589967599,357,HTTP Request,201,Created,Thread Group 1-8,text,true,,888,227,8,8,https://fakestoreapi.com/auth/login,357,0,47
1770589967698,311,HTTP Request,201,Created,Thread Group 1-6,text,true,,888,228,8,8,https://fakestoreapi.com/auth/login,311,0,0
1770589967714,309,HTTP Request,201,Created,Thread Group 1-1,text,true,,888,226,8,8,https://fakestoreapi.com/auth/login,309,0,0
1770589967751,306,HTTP Request,201,Created,Thread Group 1-3,text,true,,895,226,8,8,https://fakestoreapi.com/auth/login,306,0,0
1770589967810,302,HTTP Request,201,Created,Thread Group 1-5,text,true,,893,232,9,9,https://fakestoreapi.com/auth/login,302,0,0
1770589967851,310,HTTP Request,201,Created,Thread Group 1-7,text,true,,886,226,9,9,https://fakestoreapi.com/auth/login,310,0,0
1770589967897,308,HTTP Request,201,Created,Thread Group 1-2,text,true,,892,227,9,9,https://fakestoreapi.com/auth/login,308,0,0
1770589967999,310,HTTP Request,201,Created,Thread Group 1-4,text,true,,892,228,9,9,https://fakestoreapi.com/auth/login,310,0,0
1770589968000,310,HTTP Request,201,Created,Thread Group 1-8,text,true,,898,226,9,9,https://fakestoreapi.com/auth/login,310,0,0
1770589968097,311,HTTP Request,201,Created,Thread Group 1-6,text,true,,893,226,9,9,https://fakestoreapi.com/auth/login,311,0,0
1770589968115,312,HTTP Request,201,Created,Thread Group 1-1,text,true,,891,232,9,9,https://fakestoreapi.com/auth/login,312,0,0
1770589968100,356,HTTP Request,201,Created,Thread Group 1-9,text,true,,888,227,9,9,https://fakestoreapi.com/auth/login,356,0,47
1770589968163,308,HTTP Request,201,Created,Thread Group 1-3,text,true,,886,226,9,9,https://fakestoreapi.com/auth/login,308,0,0
1770589968260,313,HTTP Request,201,Created,Thread Group 1-5,text,true,,888,228,9,9,https://fakestoreapi.com/auth/login,313,0,0
1770589968302,305,HTTP Request,201,Created,Thread Group 1-7,text,true,,882,226,10,10,https://fakestoreapi.com/auth/login,305,0,0
1770589968349,306,HTTP Request,201,Created,Thread Group 1-2,text,true,,897,226,10,10,https://fakestoreapi.com/auth/login,306,0,0
1770589968451,303,HTTP Request,201,Created,Thread Group 1-4,text,true,,887,232,10,10,https://fakestoreapi.com/auth/login,303,0,0
1770589968450,311,HTTP Request,201,Created,Thread Group 1-8,text,true,,892,226,10,10,https://fakestoreapi.com/auth/login,311,0,0
1770589968550,305,HTTP Request,201,Created,Thread Group 1-9,text,true,,884,226,10,10,https://fakestoreapi.com/auth/login,305,0,0
1770589968548,310,HTTP Request,201,Created,Thread Group 1-6,text,true,,886,227,10,10,https://fakestoreapi.com/auth/login,310,0,0
1770589968564,305,HTTP Request,201,Created,Thread Group 1-1,text,true,,896,228,10,10,https://fakestoreapi.com/auth/login,305,0,0
1770589968600,312,HTTP Request,201,Created,Thread Group 1-3,text,true,,887,226,10,10,https://fakestoreapi.com/auth/login,312,0,0
1770589968601,343,HTTP Request,201,Created,Thread Group 1-10,text,true,,886,226,10,10,https://fakestoreapi.com/auth/login,343,0,37
1770589968709,307,HTTP Request,201,Created,Thread Group 1-5,text,true,,893,232,10,10,https://fakestoreapi.com/auth/login,307,0,0
1770589968800,311,HTTP Request,201,Created,Thread Group 1-7,text,true,,886,227,11,11,https://fakestoreapi.com/auth/login,311,0,0
1770589968848,313,HTTP Request,201,Created,Thread Group 1-2,text,true,,898,228,11,11,https://fakestoreapi.com/auth/login,313,0,0
1770589968951,305,HTTP Request,201,Created,Thread Group 1-4,text,true,,888,226,11,11,https://fakestoreapi.com/auth/login,305,0,0
1770589968950,312,HTTP Request,201,Created,Thread Group 1-8,text,true,,903,226,11,11,https://fakestoreapi.com/auth/login,312,0,0
1770589969047,305,HTTP Request,201,Created,Thread Group 1-6,text,true,,890,226,11,11,https://fakestoreapi.com/auth/login,305,0,0
1770589969063,311,HTTP Request,201,Created,Thread Group 1-1,text,true,,894,227,11,11,https://fakestoreapi.com/auth/login,311,0,0
1770589969102,310,HTTP Request,201,Created,Thread Group 1-10,text,true,,884,226,11,11,https://fakestoreapi.com/auth/login,310,0,0
1770589969100,312,HTTP Request,201,Created,Thread Group 1-3,text,true,,898,228,11,11,https://fakestoreapi.com/auth/login,312,0,0
1770589969101,362,HTTP Request,201,Created,Thread Group 1-11,text,true,,891,232,11,11,https://fakestoreapi.com/auth/login,362,0,38
1770589969209,305,HTTP Request,201,Created,Thread Group 1-5,text,true,,889,226,11,11,https://fakestoreapi.com/auth/login,305,0,0
1770589969049,538,HTTP Request,201,Created,Thread Group 1-9,text,true,,893,232,11,11,https://fakestoreapi.com/auth/login,538,0,0
1770589969350,305,HTTP Request,201,Created,Thread Group 1-7,text,true,,890,226,12,12,https://fakestoreapi.com/auth/login,305,0,0
1770589969398,308,HTTP Request,201,Created,Thread Group 1-2,text,true,,884,227,12,12,https://fakestoreapi.com/auth/login,308,0,0
1770589969501,304,HTTP Request,201,Created,Thread Group 1-4,text,true,,892,228,12,12,https://fakestoreapi.com/auth/login,304,0,0
1770589969501,311,HTTP Request,201,Created,Thread Group 1-8,text,true,,886,226,12,12,https://fakestoreapi.com/auth/login,311,0,0
1770589969599,303,HTTP Request,201,Created,Thread Group 1-6,text,true,,889,226,12,12,https://fakestoreapi.com/auth/login,303,0,0
1770589969600,303,HTTP Request,201,Created,Thread Group 1-9,text,true,,893,226,12,12,https://fakestoreapi.com/auth/login,303,0,0
1770589969615,304,HTTP Request,201,Created,Thread Group 1-1,text,true,,895,232,12,12,https://fakestoreapi.com/auth/login,304,0,0
1770589969595,344,HTTP Request,201,Created,Thread Group 1-12,text,true,,899,232,12,12,https://fakestoreapi.com/auth/login,344,0,39
1770589969650,305,HTTP Request,201,Created,Thread Group 1-3,text,true,,888,227,12,12,https://fakestoreapi.com/auth/login,305,0,0
1770589969652,305,HTTP Request,201,Created,Thread Group 1-11,text,true,,886,228,12,12,https://fakestoreapi.com/auth/login,305,0,0
1770589969652,306,HTTP Request,201,Created,Thread Group 1-10,text,true,,888,226,12,12,https://fakestoreapi.com/auth/login,306,0,0
1770589969759,310,HTTP Request,201,Created,Thread Group 1-5,text,true,,886,226,12,12,https://fakestoreapi.com/auth/login,310,0,0
1770589969949,306,HTTP Request,201,Created,Thread Group 1-7,text,true,,888,226,13,13,https://fakestoreapi.com/auth/login,306,0,0
1770589969996,306,HTTP Request,201,Created,Thread Group 1-2,text,true,,888,227,13,13,https://fakestoreapi.com/auth/login,306,0,0
1770589970099,310,HTTP Request,201,Created,Thread Group 1-4,text,true,,888,228,13,13,https://fakestoreapi.com/auth/login,310,0,0
1770589970099,311,HTTP Request,201,Created,Thread Group 1-8,text,true,,886,226,13,13,https://fakestoreapi.com/auth/login,311,0,0
1770589970099,346,HTTP Request,201,Created,Thread Group 1-13,text,true,,882,226,13,13,https://fakestoreapi.com/auth/login,346,0,38
1770589970195,305,HTTP Request,201,Created,Thread Group 1-12,text,true,,888,227,13,13,https://fakestoreapi.com/auth/login,305,0,0
1770589970198,319,HTTP Request,201,Created,Thread Group 1-9,text,true,,887,232,13,13,https://fakestoreapi.com/auth/login,319,0,0
1770589970198,320,HTTP Request,201,Created,Thread Group 1-6,text,true,,891,226,13,13,https://fakestoreapi.com/auth/login,320,0,0
1770589970215,309,HTTP Request,201,Created,Thread Group 1-1,text,true,,884,226,13,13,https://fakestoreapi.com/auth/login,309,0,0
1770589970250,308,HTTP Request,201,Created,Thread Group 1-3,text,true,,892,228,13,13,https://fakestoreapi.com/auth/login,308,0,0
1770589970252,306,HTTP Request,201,Created,Thread Group 1-11,text,true,,888,226,13,13,https://fakestoreapi.com/auth/login,306,0,0
1770589970251,311,HTTP Request,201,Created,Thread Group 1-10,text,true,,885,226,13,13,https://fakestoreapi.com/auth/login,311,0,0
1770589970359,304,HTTP Request,201,Created,Thread Group 1-5,text,true,,891,232,14,14,https://fakestoreapi.com/auth/login,304,0,0
1770589970599,306,HTTP Request,201,Created,Thread Group 1-7,text,true,,888,227,14,14,https://fakestoreapi.com/auth/login,306,0,0
1770589970599,340,HTTP Request,201,Created,Thread Group 1-14,text,true,,886,227,14,14,https://fakestoreapi.com/auth/login,340,0,36
1770589970647,310,HTTP Request,201,Created,Thread Group 1-2,text,true,,896,228,14,14,https://fakestoreapi.com/auth/login,310,0,0
1770589970748,305,HTTP Request,201,Created,Thread Group 1-4,text,true,,890,226,14,14,https://fakestoreapi.com/auth/login,305,0,0
1770589970748,307,HTTP Request,201,Created,Thread Group 1-8,text,true,,889,226,14,14,https://fakestoreapi.com/auth/login,307,0,0
1770589970750,306,HTTP Request,201,Created,Thread Group 1-13,text,true,,895,232,14,14,https://fakestoreapi.com/auth/login,306,0,0
1770589970847,303,HTTP Request,201,Created,Thread Group 1-6,text,true,,894,228,15,15,https://fakestoreapi.com/auth/login,303,0,0
1770589970845,309,HTTP Request,201,Created,Thread Group 1-12,text,true,,890,226,15,15,https://fakestoreapi.com/auth/login,309,0,0
1770589970849,307,HTTP Request,201,Created,Thread Group 1-9,text,true,,894,227,15,15,https://fakestoreapi.com/auth/login,307,0,0
1770589970862,304,HTTP Request,201,Created,Thread Group 1-1,text,true,,892,226,15,15,https://fakestoreapi.com/auth/login,304,0,0
1770589970899,308,HTTP Request,201,Created,Thread Group 1-3,text,true,,893,226,15,15,https://fakestoreapi.com/auth/login,308,0,0
1770589970900,309,HTTP Request,201,Created,Thread Group 1-11,text,true,,899,232,15,15,https://fakestoreapi.com/auth/login,309,0,0
1770589970901,309,HTTP Request,201,Created,Thread Group 1-10,text,true,,888,226,15,15,https://fakestoreapi.com/auth/login,309,0,0
1770589971059,307,HTTP Request,201,Created,Thread Group 1-5,text,true,,888,228,15,15,https://fakestoreapi.com/auth/login,307,0,0
1770589971100,343,HTTP Request,201,Created,Thread Group 1-15,text,true,,890,226,15,15,https://fakestoreapi.com/auth/login,343,0,36
1770589971300,310,HTTP Request,201,Created,Thread Group 1-7,text,true,,894,226,16,16,https://fakestoreapi.com/auth/login,310,0,0
1770589971300,314,HTTP Request,201,Created,Thread Group 1-14,text,true,,887,226,16,16,https://fakestoreapi.com/auth/login,314,0,0
1770589971347,309,HTTP Request,201,Created,Thread Group 1-2,text,true,,893,232,16,16,https://fakestoreapi.com/auth/login,309,0,0
1770589971450,307,HTTP Request,201,Created,Thread Group 1-13,text,true,,894,228,16,16,https://fakestoreapi.com/auth/login,307,0,0
1770589971449,310,HTTP Request,201,Created,Thread Group 1-8,text,true,,888,227,16,16,https://fakestoreapi.com/auth/login,310,0,0
1770589971449,312,HTTP Request,201,Created,Thread Group 1-4,text,true,,886,226,16,16,https://fakestoreapi.com/auth/login,312,0,0
1770589971596,307,HTTP Request,201,Created,Thread Group 1-6,text,true,,895,226,16,16,https://fakestoreapi.com/auth/login,307,0,0
1770589971595,309,HTTP Request,201,Created,Thread Group 1-12,text,true,,887,232,16,16,https://fakestoreapi.com/auth/login,309,0,0
1770589971598,307,HTTP Request,201,Created,Thread Group 1-9,text,true,,884,226,16,16,https://fakestoreapi.com/auth/login,307,0,0
1770589971612,308,HTTP Request,201,Created,Thread Group 1-1,text,true,,894,227,16,16,https://fakestoreapi.com/auth/login,308,0,0
1770589971599,345,HTTP Request,201,Created,Thread Group 1-16,text,true,,888,227,16,16,https://fakestoreapi.com/auth/login,345,0,36
1770589971651,302,HTTP Request,201,Created,Thread Group 1-10,text,true,,889,226,16,16,https://fakestoreapi.com/auth/login,302,0,0
1770589971650,306,HTTP Request,201,Created,Thread Group 1-3,text,true,,892,228,16,16,https://fakestoreapi.com/auth/login,306,0,0
1770589971651,305,HTTP Request,201,Created,Thread Group 1-11,text,true,,886,226,16,16,https://fakestoreapi.com/auth/login,305,0,0
1770589971809,309,HTTP Request,201,Created,Thread Group 1-5,text,true,,887,232,17,17,https://fakestoreapi.com/auth/login,309,0,0
1770589971850,304,HTTP Request,201,Created,Thread Group 1-15,text,true,,888,226,17,17,https://fakestoreapi.com/auth/login,304,0,0
1770589972099,302,HTTP Request,201,Created,Thread Group 1-14,text,true,,900,226,17,17,https://fakestoreapi.com/auth/login,302,0,0
1770589972100,303,HTTP Request,201,Created,Thread Group 1-7,text,true,,892,228,17,17,https://fakestoreapi.com/auth/login,303,0,0
1770589972098,348,HTTP Request,201,Created,Thread Group 1-17,text,true,,883,226,17,17,https://fakestoreapi.com/auth/login,348,0,41
1770589972146,307,HTTP Request,201,Created,Thread Group 1-2,text,true,,889,226,17,17,https://fakestoreapi.com/auth/login,307,0,0
1770589972250,309,HTTP Request,201,Created,Thread Group 1-13,text,true,,895,232,17,17,https://fakestoreapi.com/auth/login,309,0,0
1770589972248,313,HTTP Request,201,Created,Thread Group 1-4,text,true,,892,227,17,17,https://fakestoreapi.com/auth/login,313,0,0
1770589972248,313,HTTP Request,201,Created,Thread Group 1-8,text,true,,884,226,17,17,https://fakestoreapi.com/auth/login,313,0,0
1770589972396,309,HTTP Request,201,Created,Thread Group 1-12,text,true,,888,226,18,18,https://fakestoreapi.com/auth/login,309,0,0
1770589972398,310,HTTP Request,201,Created,Thread Group 1-6,text,true,,890,228,18,18,https://fakestoreapi.com/auth/login,310,0,0
1770589972400,308,HTTP Request,201,Created,Thread Group 1-9,text,true,,889,226,18,18,https://fakestoreapi.com/auth/login,308,0,0
1770589972400,309,HTTP Request,201,Created,Thread Group 1-16,text,true,,884,226,18,18,https://fakestoreapi.com/auth/login,309,0,0
1770589972413,306,HTTP Request,201,Created,Thread Group 1-1,text,true,,893,232,18,18,https://fakestoreapi.com/auth/login,306,0,0
1770589972450,306,HTTP Request,201,Created,Thread Group 1-10,text,true,,890,227,18,18,https://fakestoreapi.com/auth/login,306,0,0
1770589972450,307,HTTP Request,201,Created,Thread Group 1-3,text,true,,884,226,18,18,https://fakestoreapi.com/auth/login,307,0,0
1770589972451,312,HTTP Request,201,Created,Thread Group 1-11,text,true,,890,228,18,18,https://fakestoreapi.com/auth/login,312,0,0
1770589972598,338,HTTP Request,201,Created,Thread Group 1-18,text,true,,892,228,18,18,https://fakestoreapi.com/auth/login,338,0,34
1770589972659,314,HTTP Request,201,Created,Thread Group 1-5,text,true,,891,232,18,18,https://fakestoreapi.com/auth/login,314,0,0
1770589972699,303,HTTP Request,201,Created,Thread Group 1-15,text,true,,882,226,18,18,https://fakestoreapi.com/auth/login,303,0,0
1770589972951,301,HTTP Request,201,Created,Thread Group 1-14,text,true,,886,227,19,19,https://fakestoreapi.com/auth/login,301,0,0
1770589972949,308,HTTP Request,201,Created,Thread Group 1-17,text,true,,890,226,19,19,https://fakestoreapi.com/auth/login,308,0,0
1770589972950,307,HTTP Request,201,Created,Thread Group 1-7,text,true,,894,228,19,19,https://fakestoreapi.com/auth/login,307,0,0
1770589972997,312,HTTP Request,201,Created,Thread Group 1-2,text,true,,891,226,19,19,https://fakestoreapi.com/auth/login,312,0,0
1770589973099,307,HTTP Request,201,Created,Thread Group 1-4,text,true,,892,226,19,19,https://fakestoreapi.com/auth/login,307,0,0
1770589973099,308,HTTP Request,201,Created,Thread Group 1-8,text,true,,884,227,19,19,https://fakestoreapi.com/auth/login,308,0,0
1770589973100,314,HTTP Request,201,Created,Thread Group 1-13,text,true,,891,232,19,19,https://fakestoreapi.com/auth/login,314,0,0
1770589973101,339,HTTP Request,201,Created,Thread Group 1-19,text,true,,894,228,19,19,https://fakestoreapi.com/auth/login,339,0,36
1770589973296,306,HTTP Request,201,Created,Thread Group 1-6,text,true,,889,226,20,20,https://fakestoreapi.com/auth/login,306,0,0
1770589973295,307,HTTP Request,201,Created,Thread Group 1-12,text,true,,890,226,20,20,https://fakestoreapi.com/auth/login,307,0,0
1770589973300,306,HTTP Request,201,Created,Thread Group 1-16,text,true,,892,226,20,20,https://fakestoreapi.com/auth/login,306,0,0
1770589973298,311,HTTP Request,201,Created,Thread Group 1-9,text,true,,897,232,20,20,https://fakestoreapi.com/auth/login,311,0,0
1770589973313,309,HTTP Request,201,Created,Thread Group 1-1,text,true,,884,227,20,20,https://fakestoreapi.com/auth/login,309,0,0
1770589973349,305,HTTP Request,201,Created,Thread Group 1-3,text,true,,890,226,20,20,https://fakestoreapi.com/auth/login,305,0,0
1770589973352,303,HTTP Request,201,Created,Thread Group 1-10,text,true,,896,228,20,20,https://fakestoreapi.com/auth/login,303,0,0
1770589973351,310,HTTP Request,201,Created,Thread Group 1-11,text,true,,893,226,20,20,https://fakestoreapi.com/auth/login,310,0,0
1770589973499,310,HTTP Request,201,Created,Thread Group 1-18,text,true,,891,232,20,20,https://fakestoreapi.com/auth/login,310,0,0
1770589973559,310,HTTP Request,201,Created,Thread Group 1-5,text,true,,902,226,20,20,https://fakestoreapi.com/auth/login,310,0,0
1770589973601,307,HTTP Request,201,Created,Thread Group 1-15,text,true,,894,227,20,20,https://fakestoreapi.com/auth/login,307,0,0
1770589973599,338,HTTP Request,201,Created,Thread Group 1-20,text,true,,891,232,20,20,https://fakestoreapi.com/auth/login,338,0,35
1770589973900,304,HTTP Request,201,Created,Thread Group 1-7,text,true,,901,232,20,20,https://fakestoreapi.com/auth/login,304,0,0
1770589973901,303,HTTP Request,201,Created,Thread Group 1-14,text,true,,894,226,20,20,https://fakestoreapi.com/auth/login,303,0,0
1770589973898,309,HTTP Request,201,Created,Thread Group 1-17,text,true,,889,226,20,20,https://fakestoreapi.com/auth/login,309,0,0
